"","idviv","posiTi","where","latitud","longitud","otraespecie","menores0a4","menores5a14","totalhabit","numperro","numgato","numgallinas","numcabras","otroanimal","cantotro","where.Tg","techo","pared"
"1051",1011208353,0,NA,"-28.43824798","-65.70445402",NA,1,0,3,0,0,0,0,NA,NA,NA,1,1
"1052",1011205863,0,NA,"-28.44344661","-65.70446718",NA,1,1,5,3,0,0,0,NA,NA,NA,0,0
"1053",1011208352,0,NA,"-28.43832803","-65.70447204",NA,0,0,2,0,0,0,0,NA,NA,NA,1,1
"1054",1011208230,0,NA,"-28.43926999","-65.70450196",NA,0,1,2,0,1,0,0,NA,NA,NA,0,1
"1055",1011208762,0,NA,"-28.44180501","-65.70451101",NA,0,0,3,3,0,0,0,NA,NA,NA,0,0
"1056",1011208398,0,NA,"-28.458226","-65.70451101",NA,2,0,6,7,10,0,0,NA,NA,NA,0,0
"1057",1011205815,0,NA,"-28.43828243","-65.70451328",NA,0,1,2,1,0,0,0,"Otros animales",1,NA,1,1
"1058",1011208816,0,NA,"-28.44275401","-65.70451504",NA,0,2,4,2,0,0,0,NA,NA,NA,0,0
"1059",1011208760,0,NA,"-28.4432187","-65.70454546",NA,0,0,3,3,0,0,0,NA,NA,NA,0,0
"1060",1011208396,0,NA,"-28.45840503","-65.70454597",NA,0,1,4,3,1,0,0,NA,NA,NA,0,0
"1061",1011208770,0,NA,"-28.44300102","-65.70455401",NA,0,3,6,2,0,0,0,NA,NA,NA,0,0
"1062",1011208391,0,NA,"-28.45833303","-65.70456197",NA,0,0,3,2,1,10,0,NA,NA,NA,0,0
"1063",1011208391,0,NA,"-28.45833303","-65.70456197","T. guasayana",0,0,3,2,1,10,0,NA,NA,"peri",0,0
"1064",1011206028,0,NA,"-28.44833502","-65.70463599",NA,0,1,3,2,0,0,0,NA,NA,NA,0,0
"1065",1011205899,0,NA,"-28.43985798","-65.70464001",NA,0,3,7,3,1,0,0,"Otros animales",1,NA,0,0
"1066",1011205900,0,NA,"-28.44008496","-65.70469298",NA,0,0,3,4,0,0,0,NA,NA,NA,0,0
"1067",1011208724,0,NA,"-28.44113303","-65.70469701",NA,0,1,3,1,0,0,0,NA,NA,NA,0,0
"1068",1011208392,0,NA,"-28.45877099","-65.70470296",NA,0,2,6,3,0,0,0,NA,NA,NA,0,0
"1069",1011208397,0,NA,"-28.45901599","-65.70471997",NA,0,0,6,4,1,0,0,NA,NA,NA,0,0
"1070",1011205962,0,NA,"-28.44069097","-65.70472701",NA,0,1,4,4,0,0,0,NA,NA,NA,0,0
"1071",1011208403,0,NA,"-28.45954103","-65.70473104",NA,1,0,7,4,0,0,0,NA,NA,NA,0,1
"1072",1011208722,0,NA,"-28.44084","-65.70474202",NA,1,0,3,1,0,0,0,NA,NA,NA,0,0
"1073",1011205963,0,NA,"-28.44094796","-65.70474504",NA,0,0,4,2,3,0,0,NA,NA,NA,0,0
"1074",1011208351,0,NA,"-28.43840598","-65.70477001",NA,0,0,4,0,0,0,0,"Otros animales",1,NA,1,1
"1075",1011208711,0,NA,"-28.43975103","-65.70477303",NA,0,1,3,1,0,0,0,NA,NA,NA,0,0
"1076",1011208328,0,NA,"-28.44840903","-65.70477303",NA,1,1,4,0,0,0,0,NA,NA,NA,0,0
"1077",1011208402,1,"peri","-28.459262","-65.70477404",NA,0,0,1,0,0,0,0,NA,NA,NA,0,0
"1078",1011208402,0,NA,"-28.459262","-65.70477404",NA,0,0,1,0,0,0,0,NA,NA,NA,0,0
"1079",1011205731,0,NA,"-28.44297479","-65.70479189",NA,0,0,2,1,0,0,0,NA,NA,NA,0,0
"1080",1011206344,0,NA,"-28.45706577","-65.70481662",NA,1,2,7,2,0,0,0,NA,NA,NA,0,0
"1081",1011205967,0,NA,"-28.44258998","-65.70484503",NA,1,2,6,1,1,0,0,NA,NA,NA,0,0
"1082",1011205864,1,"peri","-28.44350453","-65.70484629",NA,0,0,2,5,1,20,0,"conejos",2,NA,0,1
"1083",1011205699,0,NA,"-28.44372958","-65.70484662",NA,0,6,11,0,0,0,0,NA,NA,NA,0,0
"1084",1011208758,0,NA,"-28.44304662","-65.70484922",NA,1,0,7,2,0,0,0,NA,NA,NA,0,0
"1085",1011208714,0,NA,"-28.44070002","-65.70485601",NA,1,0,3,1,0,0,0,NA,NA,NA,0,0
"1086",1011208766,0,NA,"-28.44234296","-65.70492097",NA,1,0,4,0,1,0,0,NA,NA,NA,0,0
"1087",1011208767,0,NA,"-28.44260297","-65.70495098",NA,1,0,6,7,1,0,0,"Otros animales",3,NA,0,0
"1088",1011208394,0,NA,"-28.45938404","-65.70495299",NA,0,0,3,6,0,0,0,NA,NA,NA,0,0
"1089",1011208260,0,NA,"-28.44781802","-65.70497604",NA,0,1,5,2,1,0,0,NA,NA,NA,0,0
"1090",1011205820,0,NA,"-28.44107771","-65.70498191",NA,0,1,3,2,0,10,0,"Otros animales",1,NA,1,1
"1091",1011205820,0,NA,"-28.44107771","-65.70498191",NA,0,1,3,2,0,10,0,"Otros animales",1,NA,1,1
"1092",1011208267,0,NA,"-28.44770696","-65.70498803",NA,0,0,3,1,1,1,0,NA,NA,NA,0,0
"1093",1011205970,0,NA,"-28.4433135","-65.70501929",NA,2,0,7,3,2,0,0,NA,NA,NA,0,0
"1094",1011208395,1,"domi","-28.45939502","-65.70503304",NA,0,0,3,1,2,30,0,NA,NA,NA,0,0
"1095",1011208395,1,"domi","-28.45939502","-65.70503304",NA,0,0,3,1,2,30,0,NA,NA,NA,0,0
"1096",1011206029,0,NA,"-28.44831901","-65.70504804",NA,0,1,5,1,1,0,0,NA,NA,NA,1,1
"1097",1011208754,0,NA,"-28.44363151","-65.70505575",NA,0,1,4,2,0,0,0,"Otros animales",1,NA,1,0
"1098",1011205901,1,"peri","-28.44131517","-65.70505961",NA,1,2,6,4,2,20,0,"Otros animales",15,NA,1,1
"1099",1011205901,1,"peri","-28.44131517","-65.70505961",NA,0,3,8,4,2,20,0,"Otros animales",14,NA,1,1
"1100",1011205861,0,NA,"-28.44340269","-65.70506212",NA,0,0,4,4,4,0,0,NA,NA,NA,0,0
"1101",1011205818,0,NA,"-28.44028076","-65.70509615",NA,0,4,6,2,1,0,0,NA,NA,NA,0,0
"1102",1011206074,0,NA,"-28.44945014","-65.70512038",NA,1,2,6,4,2,0,0,NA,NA,NA,1,0
"1103",1011206073,0,NA,"-28.44945383","-65.70512231",NA,0,0,1,0,3,0,0,NA,NA,NA,1,1
"1104",1011205819,0,NA,"-28.43933981","-65.70512499",NA,0,2,4,2,1,8,0,NA,NA,NA,0,0
"1105",1011208610,0,NA,"-28.44497597","-65.70526002",NA,0,4,6,1,0,0,0,NA,NA,NA,1,1
"1106",1011205862,0,NA,"-28.44356244","-65.70526002",NA,0,0,2,1,0,0,0,NA,NA,NA,0,0
"1107",1011206030,0,NA,"-28.44820401","-65.70526999",NA,0,3,5,1,2,0,0,"conejos",2,NA,0,0
"1108",1011205925,0,NA,"-28.44632797","-65.70530101",NA,0,1,5,2,0,0,0,NA,NA,NA,0,0
"1109",1011205971,0,NA,"-28.445628","-65.70530101",NA,0,2,5,5,3,0,0,NA,NA,NA,1,1
"1110",1011208649,0,NA,"-28.44547704","-65.70531199",NA,3,0,5,0,0,0,0,NA,NA,NA,1,1
"1111",1011205976,0,NA,"-28.442738","-65.70531802",NA,0,0,4,0,0,0,0,NA,NA,NA,1,1
"1112",1011205926,0,NA,"-28.44690699","-65.70532397",NA,0,0,1,0,0,0,0,NA,NA,NA,0,0
"1113",1011206166,0,NA,"-28.45683946","-65.70536689",NA,1,1,6,2,2,10,0,"chancho",1,NA,0,0
"1114",1011206166,1,"peri","-28.45683946","-65.70536689",NA,1,2,6,1,2,13,0,"porcinos",1,NA,0,0
"1115",1011205817,0,NA,"-28.44039056","-65.70537351",NA,0,0,1,5,0,40,0,"conejos",7,NA,1,1
